# 项目名		# 用户名@服务器		# ssh 端口号	# 代码目录	# 环境
3drendering     	root@39.98.71.133       52113           self            test
3drendering		pro@139.159.252.64      22219           self            prod
goldtd			www@47.112.166.147      22              dist            test
gem-machine-h5          root@47.107.240.15      52113           dist            test
gem-machine-admin       root@47.107.240.15      52113           dist            test
cust-h5                 root@47.107.240.15      52113           dist/build/h5   test
cust-h5                 www@47.115.115.183      22              dist/build/h5   prod
gem-machine-h5          www@47.115.115.183      22              dist            prod
gem-machine-admin       www@47.115.115.183      22              dist            prod
jew-dist-mall           root@39.98.71.133       52113           dist            test
jew-dist-operation      root@39.98.71.133       52113           dist            test
jew-dist-business       root@39.98.71.133       52113           dist            test
jew-dist-mall           pro@139.159.252.64      22219           dist            prod
jew-dist-operation      pro@139.159.252.64      22219           dist            prod
jew-dist-business       pro@139.159.252.64      22219           dist            prod
warehouse-web           www@139.159.252.64      22006           dist            test
warehouse-admin         www@139.159.252.64      22006           dist            test
warehouse-web2          www@139.159.252.64      22006           dist            test
warehouse-admin2        www@139.159.252.64      22006           dist            test
warehouse-web           www@47.115.115.183      22              dist            prod
warehouse-admin         www@47.115.115.183      22              dist            prod
digital-factory-admin	root@39.98.71.133       52113           dist            test
digital-factory-web	root@39.98.71.133       52113           dist            test
digital-factory-admin   www@139.159.252.64      22005           dist            prod
digital-factory-web     www@139.159.252.64      22005           dist            prod
jew-cust-h5		www@139.159.252.64      22006           dist            test
jew-cust-business       www@139.159.252.64      22006           dist            test
jew-cust-admin          www@139.159.252.64      22006           dist            test
jew-cust-h5		pro@139.159.252.64      22219           dist            prod
jew-cust-business	pro@139.159.252.64      22219           dist            prod
jew-cust-admin		pro@139.159.252.64      22219           dist            prod
sysmgr-web   		root@39.98.71.133       52113           dist            test
sysmgr-web              www@47.115.115.183      22              dist            prod
productmgr              root@39.98.71.133       52113           dist            test
productmgr              www@47.115.115.183      22              dist            prod
jpark-share             root@47.106.144.86      52113           dist            prod
